Produto:;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;QTD TOTAL:;PREÇO UNIT. R$;;;;;;;;;
Papel Toalha;89;77;42;45;43;83;56;92;29;57;71;21;; R$ 8,90 ;;;;;;;;;
Papel Higiênico;72;54;13;26;74;60;56;75;63;27;49;83;; R$ 0,70 ;;;;;;;;;
Sabonete Espuma;72;50;66;22;11;77;66;19;85;29;28;75;; R$ 1,88 ;;;;;;;;;
Sabonete Desengraxante;63;36;63;93;81;59;93;94;76;79;71;32;; R$ 3,57 ;;;;;;;;;
Protetor de Assento Sanitário;99;92;55;74;74;22;25;73;54;67;94;76;; R$ 2,50 ;;;;;;;;;
Saquinho de Absorvente Íntimo;13;41;77;64;33;92;82;24;49;82;15;68;; R$ 3,99 ;;;;;;;;;
Tela de Mictório;53;71;96;45;60;40;46;20;24;33;82;62;; R$ 4,58 ;;;;;;;;;
Toalheiro;91;26;12;36;25;40;73;45;44;49;90;73;; R$ 12,00 ;;;;;;;;;
Porta Papel Higiênico;88;39;12;82;44;94;56;66;95;23;15;20;; R$ 12,69 ;;;;;;;;;
Saboneteira;93;46;34;11;75;51;21;90;48;58;98;72;; R$ 2,39 ;;;;;;;;;
Fio Dental;63;61;19;54;72;21;25;73;93;49;27;31;; R$ 1,55 ;;;;;;;;;
Detergente Louça;31;34;78;29;64;68;17;36;34;54;53;78;; R$ 1,87 ;;;;;;;;;
Limpador Perfumado;67;10;30;90;25;85;40;10;71;53;67;30;; R$ 3,60 ;;;;;;;;;
Desinfetante;40;74;33;34;94;16;14;16;36;94;54;92;; R$ 4,80 ;;;;;;;;;
Limpador Geral Oxiativo;69;14;92;60;65;13;77;39;12;54;59;32;; R$ 5,99 ;;;;;;;;;
Desengraxante;31;55;12;41;32;41;99;37;91;81;20;23;; R$ 7,40 ;;;;;;;;;
Pano de Chão;51;79;42;83;69;69;83;33;43;93;10;74;; R$ 1,80 ;;;;;;;;;
Pano para Mobília;89;70;65;10;61;38;22;34;73;38;64;46;; R$ 1,20 ;;;;;;;;;
Vassoura;37;84;47;67;21;51;43;79;38;65;73;48;; R$ 10,00 ;;;;;;;;;
Refil Mop Pó;91;15;78;96;26;37;60;93;55;33;74;68;; R$ 24,00 ;;;;;;;;;
Refil Mop água;88;26;90;31;29;99;32;52;47;29;10;67;; R$ 25,00 ;;;;;;;;;
Cera para Piso;79;17;97;85;83;70;10;75;100;50;15;75;; R$ 7,00 ;;;;;;;;;
Desodorizador;62;19;18;26;53;65;72;70;82;88;27;64;; R$ 8,90 ;;;;;;;;;
Álcool 70;26;54;26;77;53;59;87;33;69;62;81;59;; R$ 0,70 ;;;;;;;;;
Sapóleo;14;85;94;72;30;74;56;92;19;50;85;79;; R$ 1,88 ;;;;;;;;;
Lustra Móveis;73;20;87;15;37;18;49;33;89;93;57;13;; R$ 3,57 ;;;;;;;;;
Água Sanitária;80;82;47;18;91;45;22;61;50;31;25;88;; R$ 2,50 ;;;;;;;;;
Álcool Gel;71;81;51;11;55;97;44;59;46;29;68;27;; R$ 3,99 ;;;;;;;;;
Esponja Azul Não Risca;14;94;26;97;47;50;71;35;12;27;39;13;; R$ 4,58 ;;;;;;;;;
Esponja Rosa;53;41;38;80;54;16;35;20;13;23;37;72;; R$ 12,00 ;;;;;;;;;
Fibra Serviço Pesado Verde;18;80;25;69;26;74;43;92;27;64;71;93;; R$ 12,69 ;;;;;;;;;
